token_index,token_type,part_id,part_name,topcoat_name,topcoat_no,color_code,quantity,original,job_id,prov_row_index,prov_seq_in_row,part_part_name,part_part_category,part_part_type,part_part_no,topcoat_topcoat_name,topcoat_topcoat_no,topcoat_topcoat_family,setup_cost,cumulative_setup_cost
80,FLUSH,,,,,,,,,,,,,,,,,,,
81,JOB,rear_bumper_d,Rear bumper D,Obsidian Black,10.0,C_OBSIDIAN_BLACK,1.0,3.0,J000105,41.0,1.0,Rear bumper D,Rear bumper,D,14.0,Obsidian Black,10.0,BLACK,0.0,5.0
82,JOB,rear_bumper_f,Rear bumper F,Obsidian Black,10.0,C_OBSIDIAN_BLACK,3.0,278.0,J000112,46.0,1.0,Rear bumper F,Rear bumper,F,16.0,Obsidian Black,10.0,BLACK,0.0,5.0
83,JOB,rear_bumper_f,Rear bumper F,Obsidian Black,10.0,C_OBSIDIAN_BLACK,3.0,278.0,J000113,46.0,2.0,Rear bumper F,Rear bumper,F,16.0,Obsidian Black,10.0,BLACK,0.0,5.0
84,JOB,rear_bumper_f,Rear bumper F,Obsidian Black,10.0,C_OBSIDIAN_BLACK,3.0,278.0,J000114,46.0,3.0,Rear bumper F,Rear bumper,F,16.0,Obsidian Black,10.0,BLACK,0.0,5.0
85,JOB,threshold_a,Threshold A,Obsidian Black,10.0,C_OBSIDIAN_BLACK,1.0,47.0,J000146,65.0,1.0,Threshold A,Threshold,A,21.0,Obsidian Black,10.0,BLACK,0.0,5.0
86,EMPTY,,,,,,,,,,,,,,,,,,,
87,JOB,threshold_b,Threshold B,Obsidian Black,10.0,C_OBSIDIAN_BLACK,6.0,579.0,J000156,70.0,1.0,Threshold B,Threshold,B,22.0,Obsidian Black,10.0,BLACK,0.0,5.0
88,JOB,threshold_b,Threshold B,Obsidian Black,10.0,C_OBSIDIAN_BLACK,6.0,579.0,J000157,70.0,2.0,Threshold B,Threshold,B,22.0,Obsidian Black,10.0,BLACK,0.0,5.0
89,JOB,threshold_b,Threshold B,Obsidian Black,10.0,C_OBSIDIAN_BLACK,6.0,579.0,J000158,70.0,3.0,Threshold B,Threshold,B,22.0,Obsidian Black,10.0,BLACK,0.0,5.0
90,JOB,threshold_b,Threshold B,Obsidian Black,10.0,C_OBSIDIAN_BLACK,6.0,579.0,J000159,70.0,4.0,Threshold B,Threshold,B,22.0,Obsidian Black,10.0,BLACK,0.0,5.0
91,JOB,threshold_b,Threshold B,Obsidian Black,10.0,C_OBSIDIAN_BLACK,6.0,579.0,J000160,70.0,5.0,Threshold B,Threshold,B,22.0,Obsidian Black,10.0,BLACK,0.0,5.0
92,JOB,threshold_b,Threshold B,Obsidian Black,10.0,C_OBSIDIAN_BLACK,6.0,579.0,J000161,70.0,6.0,Threshold B,Threshold,B,22.0,Obsidian Black,10.0,BLACK,0.0,5.0
93,EMPTY,,,,,,,,,,,,,,,,,,,
94,JOB,threshold_c,Threshold C,Obsidian Black,10.0,C_OBSIDIAN_BLACK,3.0,276.0,J000164,72.0,1.0,Threshold C,Threshold,C,23.0,Obsidian Black,10.0,BLACK,0.0,5.0
95,JOB,threshold_c,Threshold C,Obsidian Black,10.0,C_OBSIDIAN_BLACK,3.0,276.0,J000165,72.0,2.0,Threshold C,Threshold,C,23.0,Obsidian Black,10.0,BLACK,0.0,5.0
96,JOB,threshold_c,Threshold C,Obsidian Black,10.0,C_OBSIDIAN_BLACK,3.0,276.0,J000166,72.0,3.0,Threshold C,Threshold,C,23.0,Obsidian Black,10.0,BLACK,0.0,5.0
97,EMPTY,,,,,,,,,,,,,,,,,,,
98,JOB,radar_bracket_d,Radar bracket D,Obsidian Black,10.0,C_OBSIDIAN_BLACK,1.0,4.0,J000180,80.0,1.0,Radar bracket D,Radar bracket,D,30.0,Obsidian Black,10.0,BLACK,0.0,5.0
99,JOB,front_bumper_f,Front bumper F,Polar White,1.0,C_POLAR_WHITE,10.0,961.0,J000069,28.0,5.0,Front bumper F,Front bumper,F,9.0,Polar White,1.0,WHITE,1.0,6.0
100,JOB,front_bumper_f,Front bumper F,Polar White,1.0,C_POLAR_WHITE,10.0,961.0,J000070,28.0,6.0,Front bumper F,Front bumper,F,9.0,Polar White,1.0,WHITE,0.0,6.0
101,JOB,front_bumper_f,Front bumper F,Polar White,1.0,C_POLAR_WHITE,10.0,961.0,J000071,28.0,7.0,Front bumper F,Front bumper,F,9.0,Polar White,1.0,WHITE,0.0,6.0
102,JOB,front_bumper_f,Front bumper F,Polar White,1.0,C_POLAR_WHITE,10.0,961.0,J000072,28.0,8.0,Front bumper F,Front bumper,F,9.0,Polar White,1.0,WHITE,0.0,6.0
103,JOB,front_bumper_f,Front bumper F,Polar White,1.0,C_POLAR_WHITE,10.0,961.0,J000073,28.0,9.0,Front bumper F,Front bumper,F,9.0,Polar White,1.0,WHITE,0.0,6.0
104,JOB,front_bumper_f,Front bumper F,Polar White,1.0,C_POLAR_WHITE,10.0,961.0,J000074,28.0,10.0,Front bumper F,Front bumper,F,9.0,Polar White,1.0,WHITE,0.0,6.0
105,JOB,rear_bumper_a,Rear bumper A,Polar White,1.0,C_POLAR_WHITE,6.0,565.0,J000086,35.0,1.0,Rear bumper A,Rear bumper,A,11.0,Polar White,1.0,WHITE,0.0,6.0
106,JOB,rear_bumper_a,Rear bumper A,Polar White,1.0,C_POLAR_WHITE,6.0,565.0,J000087,35.0,2.0,Rear bumper A,Rear bumper,A,11.0,Polar White,1.0,WHITE,0.0,6.0
107,JOB,rear_bumper_a,Rear bumper A,Polar White,1.0,C_POLAR_WHITE,6.0,565.0,J000088,35.0,3.0,Rear bumper A,Rear bumper,A,11.0,Polar White,1.0,WHITE,0.0,6.0
108,JOB,rear_bumper_a,Rear bumper A,Polar White,1.0,C_POLAR_WHITE,6.0,565.0,J000089,35.0,4.0,Rear bumper A,Rear bumper,A,11.0,Polar White,1.0,WHITE,0.0,6.0
109,JOB,rear_bumper_a,Rear bumper A,Polar White,1.0,C_POLAR_WHITE,6.0,565.0,J000090,35.0,5.0,Rear bumper A,Rear bumper,A,11.0,Polar White,1.0,WHITE,0.0,6.0
110,JOB,rear_bumper_a,Rear bumper A,Polar White,1.0,C_POLAR_WHITE,6.0,565.0,J000091,35.0,6.0,Rear bumper A,Rear bumper,A,11.0,Polar White,1.0,WHITE,0.0,6.0
